timestamp,tvlUSD,tvlETH,wBTC,wETH,DAI
1620864000,13785384404,3621062.36,17610.57511,3051901.968,81259207.63
1620777600,15420293818,3690274.999,17738.61337,3062587.148,79635520.78
1620691200,14593707376,3697061.691,17678.71465,3066954.656,80276714.48
1620604800,14491076608,3694818.105,16674.98906,3069842.444,84252407.43
1620518400,14366374860,3685424.626,15809.52662,3060778.255,85315687.78
1620432000,13131582339,3770344.584,15793.87853,3064765.435,83882488.06
1620345600,13179044176,3795392.26,15763.02806,3074148.602,86693474.29
1620259200,12468584770,3535843.047,15224.43462,3072716.754,85147396.88
1620172800,11505545520,3544683.233,15190.13974,3070773.225,86536960.95
1620086400,12131609105,3538026.29,15105.05412,3084326.688,87411397.95
1620000000,10762664251,3645728.424,15240.69491,3088891.447,90348630.11
1619913600,10745099175,3648243.69,15511.55543,3079422.832,90295955.07
1619827200,10258582918,3694709.611,15512.17403,3099004.854,92632335.62
1619740800,10234521484,3709248.542,16153.91652,3118975.911,95380353.21
1619654400,10354011088,3766053.573,16243.12874,3128875.106,101164304.7
1619568000,10072894623,3777784.095,16270.81548,3135476.238,99143382.53
1619481600,9652454722,3807313.991,16187.36857,3134541.44,94256578.72
1619395200,8983425777,3870497.965,16293.7605,3113490.693,90362427.48
1619308800,8700712568,3919081.014,16324.12208,3109842.331,87299415.88
1619222400,9144091385,3861410.932,16346.733,3088611.489,86144722.5
1619136000,9602724536,3993398.015,16355.7681,3099585.802,88964292.38
1619049600,9300636348,3940981.003,17073.82371,3102767.816,84136817.82
1618963200,9244939941,3961477.622,17292.05144,3099102.3,81228020.94
1618876800,8686266124,4012502.829,17250.08066,3093358.308,79453388.12
1618790400,8938195658,3979818.894,17137.62052,3092349.931,74871582.67
1618704000,9256686746,3980959.706,16993.27058,3080752.057,79947983.44
1618617600,9572872942,3941173.08,17091.77379,3057237.027,80648246.49
1618531200,9376136288,3726545.002,16857.3313,2867776.3,81754267.48
1618444800,9102154854,3742231.509,16770.17484,2881431.206,79649503.11
1618358400,8743384031,3802132.558,16655.4111,2900220.739,81825006.8
1618272000,8174485125,3823157.929,16549.61528,2899697.403,79967994.49
1618185600,8234747754,3831095.282,16520.88542,2902545.909,79585001.51
1618099200,8143808378,3817648.78,16559.14531,2880527.398,80309344.93
1618012800,7882926709,3814442.422,16405.13079,2856257.766,84512203.31
1617926400,7917048785,3805998.983,16313.14106,2860137.44,82310565.97
1617840000,7582854099,3866258.482,16305.5155,2864241.251,72334750.97
1617753600,8051548728,3811762.934,16238.63288,2886580.628,71782965.27
1617667200,8003851750,3803352.824,16534.99752,2892380.59,73108774.82
1617580800,7925895468,3821218.731,16677.09738,2890288.419,70494733.15
1617494400,7672016708,3816164.3,16576.70029,2886466.421,58290481.29
1617408000,8201987072,3840492.902,16691.75163,2925593.823,67173741.02
1617321600,7649683416,3886738.011,16447.76119,2922899.737,53366485.87
1617235200,7411024499,3865686.99,16463.49745,2905208.604,34877774.6
1617148800,7181214871,3901328.765,16444.33259,2901280.904,33888677.1
