f0_,Record Count,count
2016. 8. 24.,1,46821
2016. 8. 25.,1,49868
2016. 8. 26.,1,47292
2016. 8. 27.,1,47938
2016. 8. 28.,1,42607
2016. 8. 29.,1,45510
2016. 8. 30.,1,46979
2016. 8. 31.,1,45846
2016. 9. 1.,1,47491
2016. 9. 2.,1,55413
2016. 9. 3.,1,44792
2016. 9. 4.,1,48128
2016. 9. 5.,1,42667
2016. 9. 6.,1,49102
2016. 9. 7.,1,48701
2016. 9. 8.,1,55970
2016. 9. 9.,1,53918
2016. 9. 10.,1,42875
2016. 9. 11.,1,43345
2016. 9. 12.,1,45123
2016. 9. 13.,1,42591
2016. 9. 14.,1,53859
2016. 9. 15.,1,52622
2016. 9. 16.,1,57532
2016. 9. 17.,1,46882
2016. 9. 18.,1,37893
2016. 9. 19.,1,40505
2016. 9. 20.,1,54067
2016. 9. 21.,1,44549
2016. 9. 22.,1,52657
2016. 9. 23.,1,35219
2016. 9. 24.,1,43418
2016. 9. 25.,1,38713
2016. 9. 26.,1,43514
2016. 9. 27.,1,46817
2016. 9. 28.,1,42797
2016. 9. 29.,1,40416
2016. 9. 30.,1,35836
2016. 10. 1.,1,53076
2016. 10. 2.,1,51105
2016. 10. 3.,1,47672
2016. 10. 4.,1,56662
2016. 10. 5.,1,41719
2016. 10. 6.,1,36826
2016. 10. 7.,1,43708
2016. 10. 8.,1,37690
2016. 10. 9.,1,43940
2016. 10. 10.,1,44940
2016. 10. 11.,1,41053
2016. 10. 12.,1,30002
2016. 10. 13.,1,32244
2016. 10. 14.,1,42006
2016. 10. 15.,1,33662
2016. 10. 16.,1,34990
2016. 10. 17.,1,38136
2016. 10. 18.,1,51898
2016. 10. 19.,1,38497
2016. 10. 20.,1,43438
2016. 10. 21.,1,57780
2016. 10. 22.,1,37772
2016. 10. 23.,1,35364
2016. 10. 24.,1,52547
2016. 10. 25.,1,47610
2016. 10. 26.,1,45158
2016. 10. 27.,1,44353
2016. 10. 28.,1,41522
2016. 10. 29.,1,40011
2016. 10. 30.,1,39435
2016. 10. 31.,1,45031
2016. 11. 1.,1,49025
2016. 11. 2.,1,43519
2016. 11. 3.,1,42346
2016. 11. 4.,1,32572
2016. 11. 5.,1,37690
2016. 11. 6.,1,34391
2016. 11. 7.,1,41941
2016. 11. 8.,1,41569
2016. 11. 9.,1,40517
2016. 11. 10.,1,40164
2016. 11. 11.,1,41070
2016. 11. 12.,1,40882
2016. 11. 13.,1,43673
2016. 11. 14.,1,43876
2016. 11. 15.,1,45330
2016. 11. 16.,1,41684
2016. 11. 17.,1,40738
2016. 11. 18.,1,43785
2016. 11. 19.,1,39289
2016. 11. 20.,1,42125
2016. 11. 21.,1,42735
2016. 11. 22.,1,53585
2016. 11. 23.,1,64289
2016. 11. 24.,1,36861
2016. 11. 25.,1,58075
2016. 11. 26.,1,40804
2016. 11. 27.,1,44449
2016. 11. 28.,1,48388
2016. 11. 29.,1,47036
2016. 11. 30.,1,39178
2016. 12. 1.,1,37121
2016. 12. 2.,1,41642
2016. 12. 3.,1,41357
2016. 12. 4.,1,39643
2016. 12. 5.,1,41613
2016. 12. 6.,1,48200
2016. 12. 7.,1,41757
2016. 12. 8.,1,39587
2016. 12. 9.,1,41444
2016. 12. 10.,1,40564
2016. 12. 11.,1,39164
2016. 12. 12.,1,38741
2016. 12. 13.,1,44664
2016. 12. 14.,1,47294
2016. 12. 15.,1,46102
2016. 12. 16.,1,43953
2016. 12. 17.,1,39442
2016. 12. 18.,1,36640
2016. 12. 19.,1,45599
2016. 12. 20.,1,44241
2016. 12. 21.,1,50793
2016. 12. 22.,1,55173
2016. 12. 23.,1,44391
2016. 12. 24.,1,37757
2016. 12. 25.,1,36601
2016. 12. 26.,1,34565
2016. 12. 27.,1,42370
2016. 12. 28.,1,43386
2016. 12. 29.,1,46546
2016. 12. 30.,1,44561
2016. 12. 31.,1,41220
2017. 1. 1.,1,38730
2017. 1. 2.,1,39652
2017. 1. 3.,1,45883
2017. 1. 4.,1,50673
2017. 1. 5.,1,49596
2017. 1. 6.,1,43804
2017. 1. 7.,1,43622
2017. 1. 8.,1,42727
2017. 1. 9.,1,46188
2017. 1. 10.,1,48179
2017. 1. 11.,1,45221
2017. 1. 12.,1,50589
2017. 1. 13.,1,50833
2017. 1. 14.,1,42044
2017. 1. 15.,1,41748
2017. 1. 16.,1,45375
2017. 1. 17.,1,46671
2017. 1. 18.,1,44994
2017. 1. 19.,1,43628
2017. 1. 20.,1,45775
2017. 1. 21.,1,43302
2017. 1. 22.,1,47432
2017. 1. 23.,1,46076
2017. 1. 24.,1,50414
2017. 1. 25.,1,46256
2017. 1. 26.,1,46856
2017. 1. 27.,1,46680
2017. 1. 28.,1,45189
2017. 1. 29.,1,42509
2017. 1. 30.,1,45369
2017. 1. 31.,1,43649
2017. 2. 1.,1,44541
2017. 2. 2.,1,43709
2017. 2. 3.,1,42778
2017. 2. 4.,1,45410
2017. 2. 5.,1,46542
2017. 2. 6.,1,47306
2017. 2. 7.,1,51866
2017. 2. 8.,1,51089
2017. 2. 9.,1,47873
2017. 2. 10.,1,52222
2017. 2. 11.,1,46560
2017. 2. 12.,1,45319
2017. 2. 13.,1,55990
2017. 2. 14.,1,58298
2017. 2. 15.,1,55320
2017. 2. 16.,1,49674
2017. 2. 17.,1,49406
2017. 2. 18.,1,49398
2017. 2. 19.,1,48227
2017. 2. 20.,1,50152
2017. 2. 21.,1,58434
2017. 2. 22.,1,50372
2017. 2. 23.,1,47601
2017. 2. 24.,1,54081
2017. 2. 25.,1,53245
2017. 2. 26.,1,51716
2017. 2. 27.,1,52642
2017. 2. 28.,1,60277
2017. 3. 1.,1,59774
2017. 3. 2.,1,70779
2017. 3. 3.,1,64294
2017. 3. 4.,1,58756
2017. 3. 5.,1,57031
2017. 3. 6.,1,57020
2017. 3. 7.,1,62589
2017. 3. 8.,1,55386
2017. 3. 9.,1,64266
2017. 3. 10.,1,65132
2017. 3. 11.,1,64803
2017. 3. 12.,1,66646
2017. 3. 13.,1,81718
2017. 3. 14.,1,77155
2017. 3. 15.,1,81205
2017. 3. 16.,1,109950
2017. 3. 17.,1,106635
2017. 3. 18.,1,89920
2017. 3. 19.,1,84599
2017. 3. 20.,1,80264
2017. 3. 21.,1,84298
2017. 3. 22.,1,78821
2017. 3. 23.,1,82434
2017. 3. 24.,1,87775
2017. 3. 25.,1,84394
2017. 3. 26.,1,79534
2017. 3. 27.,1,94570
2017. 3. 28.,1,84348
2017. 3. 29.,1,93064
2017. 3. 30.,1,96209
2017. 3. 31.,1,103102
2017. 4. 1.,1,80572
2017. 4. 2.,1,88948
2017. 4. 3.,1,100221
2017. 4. 4.,1,86279
2017. 4. 5.,1,87411
2017. 4. 6.,1,95177
2017. 4. 7.,1,92846
2017. 4. 8.,1,72144
2017. 4. 9.,1,74557
2017. 4. 10.,1,75487
2017. 4. 11.,1,75891
2017. 4. 12.,1,80347
2017. 4. 13.,1,84124
2017. 4. 14.,1,81155
2017. 4. 15.,1,74820
2017. 4. 16.,1,70634
2017. 4. 17.,1,72546
2017. 4. 18.,1,83303
2017. 4. 19.,1,85734
2017. 4. 20.,1,85450
2017. 4. 21.,1,81278
2017. 4. 22.,1,73539
2017. 4. 23.,1,77073
2017. 4. 24.,1,80531
2017. 4. 25.,1,93033
2017. 4. 26.,1,89642
2017. 4. 27.,1,104494
2017. 4. 28.,1,106193
2017. 4. 29.,1,91335
2017. 4. 30.,1,95202
2017. 5. 1.,1,112202
2017. 5. 2.,1,110354
2017. 5. 3.,1,97334
2017. 5. 4.,1,114877
2017. 5. 5.,1,108514
2017. 5. 6.,1,95014
2017. 5. 7.,1,106631
2017. 5. 8.,1,117509
2017. 5. 9.,1,112933
2017. 5. 10.,1,109673
2017. 5. 11.,1,117189
2017. 5. 12.,1,107241
2017. 5. 13.,1,101332
2017. 5. 14.,1,101348
2017. 5. 15.,1,122792
2017. 5. 16.,1,116341
2017. 5. 17.,1,140135
2017. 5. 18.,1,137409
2017. 5. 19.,1,161568
2017. 5. 20.,1,130912
2017. 5. 21.,1,149699
2017. 5. 22.,1,176255
2017. 5. 23.,1,187121
2017. 5. 24.,1,187293
2017. 5. 25.,1,183010
2017. 5. 26.,1,169818
2017. 5. 27.,1,149450
2017. 5. 28.,1,155271
2017. 5. 29.,1,158547
2017. 5. 30.,1,193618
2017. 5. 31.,1,214126
2017. 6. 1.,1,199160
2017. 6. 2.,1,194911
2017. 6. 3.,1,175666
2017. 6. 4.,1,180136
2017. 6. 5.,1,190305
2017. 6. 6.,1,200523
2017. 6. 7.,1,207180
2017. 6. 8.,1,187700
2017. 6. 9.,1,215831
2017. 6. 10.,1,213356
2017. 6. 11.,1,240490
2017. 6. 12.,1,292941
2017. 6. 13.,1,280054
2017. 6. 14.,1,250410
2017. 6. 15.,1,261617
2017. 6. 16.,1,248003
2017. 6. 17.,1,242022
2017. 6. 18.,1,245957
2017. 6. 19.,1,286209
2017. 6. 20.,1,308488
2017. 6. 21.,1,221289
2017. 6. 22.,1,284225
2017. 6. 23.,1,276012
2017. 6. 24.,1,250570
2017. 6. 25.,1,231135
2017. 6. 26.,1,316788
2017. 6. 27.,1,252995
2017. 6. 28.,1,274241
2017. 6. 29.,1,263791
2017. 6. 30.,1,252652
2017. 7. 1.,1,240465
2017. 7. 2.,1,248617
2017. 7. 3.,1,302032
2017. 7. 4.,1,281465
2017. 7. 5.,1,271606
2017. 7. 6.,1,258791
2017. 7. 7.,1,295389
2017. 7. 8.,1,248142
2017. 7. 9.,1,225189
2017. 7. 10.,1,302633
2017. 7. 11.,1,291677
2017. 7. 12.,1,283828
2017. 7. 13.,1,260745
2017. 7. 14.,1,249381
2017. 7. 15.,1,231961
2017. 7. 16.,1,249138
2017. 7. 17.,1,248473
2017. 7. 18.,1,271055
2017. 7. 19.,1,270122
2017. 7. 20.,1,250065
2017. 7. 21.,1,232560
2017. 7. 22.,1,205574
2017. 7. 23.,1,260490
2017. 7. 24.,1,263095
2017. 7. 25.,1,242956
2017. 7. 26.,1,223010
2017. 7. 27.,1,225435
2017. 7. 28.,1,246494
2017. 7. 29.,1,198773
2017. 7. 30.,1,206624
2017. 7. 31.,1,250090
2017. 8. 1.,1,218582
2017. 8. 2.,1,231068
2017. 8. 3.,1,236335
2017. 8. 4.,1,257160
2017. 8. 5.,1,261400
2017. 8. 6.,1,265127
2017. 8. 7.,1,281172
2017. 8. 8.,1,318866
2017. 8. 9.,1,280308
2017. 8. 10.,1,338241
2017. 8. 11.,1,356682
2017. 8. 12.,1,338654
2017. 8. 13.,1,333011
2017. 8. 14.,1,410061
2017. 8. 15.,1,413246
2017. 8. 16.,1,413624
2017. 8. 17.,1,428007
2017. 8. 18.,1,443356
2017. 8. 19.,1,377418
2017. 8. 20.,1,309926
2017. 8. 21.,1,392880
2017. 8. 22.,1,364727
2017. 8. 23.,1,374711
2017. 8. 24.,1,352465
2017. 8. 25.,1,352621
2017. 8. 26.,1,306268
2017. 8. 27.,1,324173
2017. 8. 28.,1,363799
2017. 8. 29.,1,394649
2017. 8. 30.,1,400220
2017. 8. 31.,1,384421
2017. 9. 1.,1,390997
2017. 9. 2.,1,331797
2017. 9. 3.,1,302525
2017. 9. 4.,1,442592
2017. 9. 5.,1,444572
2017. 9. 6.,1,496376
2017. 9. 7.,1,448347
2017. 9. 8.,1,463670
2017. 9. 9.,1,383654
2017. 9. 10.,1,325128
2017. 9. 11.,1,365384
2017. 9. 12.,1,404898
2017. 9. 13.,1,365679
2017. 9. 14.,1,380251
2017. 9. 15.,1,441767
2017. 9. 16.,1,373764
2017. 9. 17.,1,289517
2017. 9. 18.,1,362764
2017. 9. 19.,1,337752
2017. 9. 20.,1,324984
2017. 9. 21.,1,317074
2017. 9. 22.,1,271470
2017. 9. 23.,1,260107
2017. 9. 24.,1,280929
2017. 9. 25.,1,306614
2017. 9. 26.,1,306075
2017. 9. 27.,1,309047
2017. 9. 28.,1,329208
2017. 9. 29.,1,326502
2017. 9. 30.,1,295798
2017. 10. 1.,1,283871
2017. 10. 2.,1,306095
2017. 10. 3.,1,327906
2017. 10. 4.,1,307399
2017. 10. 5.,1,314808
2017. 10. 6.,1,319882
2017. 10. 7.,1,291091
2017. 10. 8.,1,296829
2017. 10. 9.,1,328172
2017. 10. 10.,1,349605
2017. 10. 11.,1,344305
2017. 10. 12.,1,363411
2017. 10. 13.,1,379136
2017. 10. 14.,1,332169
2017. 10. 15.,1,328921
2017. 10. 16.,1,408297
2017. 10. 17.,1,505611
2017. 10. 18.,1,470449
2017. 10. 19.,1,494184
2017. 10. 20.,1,546837
2017. 10. 21.,1,462902
2017. 10. 22.,1,435493
2017. 10. 23.,1,468168
2017. 10. 24.,1,492288
2017. 10. 25.,1,460419
2017. 10. 26.,1,466406
2017. 10. 27.,1,486147
2017. 10. 28.,1,484554
2017. 10. 29.,1,494176
2017. 10. 30.,1,532626
2017. 10. 31.,1,519906
2017. 11. 1.,1,527783
2017. 11. 2.,1,529277
2017. 11. 3.,1,485790
2017. 11. 4.,1,398758
2017. 11. 5.,1,417102
2017. 11. 6.,1,511663
2017. 11. 7.,1,470418
2017. 11. 8.,1,480413
2017. 11. 9.,1,467172
2017. 11. 10.,1,457427
2017. 11. 11.,1,394378
2017. 11. 12.,1,434380
2017. 11. 13.,1,443176
2017. 11. 14.,1,475984
2017. 11. 15.,1,540593
2017. 11. 16.,1,491482
2017. 11. 17.,1,508590
2017. 11. 18.,1,459679
2017. 11. 19.,1,464563
2017. 11. 20.,1,530141
2017. 11. 21.,1,524044
2017. 11. 22.,1,546489
2017. 11. 23.,1,537068
2017. 11. 24.,1,525529
2017. 11. 25.,1,561166
2017. 11. 26.,1,542484
2017. 11. 27.,1,608695
2017. 11. 28.,1,638989
2017. 11. 29.,1,663579
2017. 11. 30.,1,655457
2017. 12. 1.,1,622720
2017. 12. 2.,1,627785
2017. 12. 3.,1,693808
2017. 12. 4.,1,701834
2017. 12. 5.,1,693090
2017. 12. 6.,1,791746
2017. 12. 7.,1,659068
2017. 12. 8.,1,766411
2017. 12. 9.,1,707223
2017. 12. 10.,1,716575
2017. 12. 11.,1,828899
2017. 12. 12.,1,872340
2017. 12. 13.,1,909631
2017. 12. 14.,1,942559
2017. 12. 15.,1,904346
2017. 12. 16.,1,899857
2017. 12. 17.,1,876574
2017. 12. 18.,1,984021
2017. 12. 19.,1,1092234
2017. 12. 20.,1,986104
2017. 12. 21.,1,1072665
2017. 12. 22.,1,1103523
2017. 12. 23.,1,918881
2017. 12. 24.,1,758234
2017. 12. 25.,1,752361
2017. 12. 26.,1,813510
2017. 12. 27.,1,912752
2017. 12. 28.,1,949503
2017. 12. 29.,1,1090191
2017. 12. 30.,1,1136659
2017. 12. 31.,1,946981
2018. 1. 1.,1,908945
2018. 1. 2.,1,1153936
2018. 1. 3.,1,1238030
2018. 1. 4.,1,1349890
2018. 1. 5.,1,1271577
2018. 1. 6.,1,1226417
2018. 1. 7.,1,1152722
2018. 1. 8.,1,1215473
2018. 1. 9.,1,1256240
2018. 1. 10.,1,1177685
2018. 1. 11.,1,1173965
2018. 1. 12.,1,1118757
2018. 1. 13.,1,1179321
2018. 1. 14.,1,1081593
2018. 1. 15.,1,1206420
2018. 1. 16.,1,1277936
2018. 1. 17.,1,1277083
2018. 1. 18.,1,1205184
2018. 1. 19.,1,1043257
2018. 1. 20.,1,984489
2018. 1. 21.,1,1006530
2018. 1. 22.,1,972911
2018. 1. 23.,1,928494
2018. 1. 24.,1,913668
2018. 1. 25.,1,788515
2018. 1. 26.,1,953429
2018. 1. 27.,1,831992
2018. 1. 28.,1,889104
2018. 1. 29.,1,936845
2018. 1. 30.,1,906578
2018. 1. 31.,1,877284
2018. 2. 1.,1,1008759
2018. 2. 2.,1,981133
2018. 2. 3.,1,814486
2018. 2. 4.,1,800876
2018. 2. 5.,1,875761
2018. 2. 6.,1,888219
2018. 2. 7.,1,818625
2018. 2. 8.,1,681344
2018. 2. 9.,1,789807
2018. 2. 10.,1,848390
2018. 2. 11.,1,773496
2018. 2. 12.,1,829020
2018. 2. 13.,1,745822
2018. 2. 14.,1,746384
2018. 2. 15.,1,777318
2018. 2. 16.,1,704758
2018. 2. 17.,1,772079
2018. 2. 18.,1,756092
2018. 2. 19.,1,811384
