f0_,count
2020. 1. 26.,518
2020. 1. 27.,604
2020. 1. 28.,652
2020. 1. 29.,695
2020. 1. 30.,775
2020. 1. 31.,642
2020. 2. 1.,635
2020. 2. 2.,654
2020. 2. 3.,633
2020. 2. 4.,808
2020. 2. 5.,924
2020. 2. 6.,1059
2020. 2. 7.,956
2020. 2. 8.,1059
2020. 2. 9.,867
2020. 2. 10.,989
2020. 2. 11.,1069
2020. 2. 12.,1374
2020. 2. 13.,1219
2020. 2. 14.,1126
2020. 2. 15.,1259
2020. 2. 16.,1474
2020. 2. 17.,1117
2020. 2. 18.,1065
2020. 2. 19.,1021
2020. 2. 20.,985
2020. 2. 21.,735
2020. 2. 22.,801
2020. 2. 23.,913
2020. 2. 24.,963
2020. 2. 25.,842
2020. 2. 26.,1305
2020. 2. 27.,1195
2020. 2. 28.,883
2020. 2. 29.,774
2020. 3. 1.,865
2020. 3. 2.,790
2020. 3. 3.,730
2020. 3. 4.,836
2020. 3. 5.,790
2020. 3. 6.,855
2020. 3. 7.,920
2020. 3. 8.,1075
2020. 3. 9.,1311
2020. 3. 10.,940
2020. 3. 11.,1216
2020. 3. 12.,2179
2020. 3. 13.,2576
2020. 3. 14.,1482
2020. 3. 15.,1599
2020. 3. 16.,1533
2020. 3. 17.,1136
2020. 3. 18.,983
2020. 3. 19.,1144
2020. 3. 20.,953
2020. 3. 21.,638
2020. 3. 22.,516
2020. 3. 23.,706
2020. 3. 24.,692
2020. 3. 25.,578
2020. 3. 26.,775
2020. 3. 27.,754
2020. 3. 28.,662
2020. 3. 29.,482
2020. 3. 30.,540
2020. 3. 31.,545
2020. 4. 1.,654
2020. 4. 2.,658
2020. 4. 3.,638
2020. 4. 4.,552
2020. 4. 5.,448
2020. 4. 6.,845
2020. 4. 7.,1000
2020. 4. 8.,688
2020. 4. 9.,576
2020. 4. 10.,800
2020. 4. 11.,513
2020. 4. 12.,547
2020. 4. 13.,586
2020. 4. 14.,439
2020. 4. 15.,488
2020. 4. 16.,594
2020. 4. 17.,523
2020. 4. 18.,685
2020. 4. 19.,766
2020. 4. 20.,1031
2020. 4. 21.,779
2020. 4. 22.,682
2020. 4. 23.,820
2020. 4. 24.,612
2020. 4. 25.,570
2020. 4. 26.,505
2020. 4. 27.,588
2020. 4. 28.,518
2020. 4. 29.,748
2020. 4. 30.,674
2020. 5. 1.,667
2020. 5. 2.,712
2020. 5. 3.,603
2020. 5. 4.,722
2020. 5. 5.,519
2020. 5. 6.,486
2020. 5. 7.,632
2020. 5. 8.,814
2020. 5. 9.,653
2020. 5. 10.,894
2020. 5. 11.,697
2020. 5. 12.,401
2020. 5. 13.,440
2020. 5. 14.,425
2020. 5. 15.,451
2020. 5. 16.,409
2020. 5. 17.,423
2020. 5. 18.,475
2020. 5. 19.,394
2020. 5. 20.,394
2020. 5. 21.,364
2020. 5. 22.,406
2020. 5. 23.,414
2020. 5. 24.,303
2020. 5. 25.,352
2020. 5. 26.,324
2020. 5. 27.,371
2020. 5. 28.,348
2020. 5. 29.,459
2020. 5. 30.,388
2020. 5. 31.,353
2020. 6. 1.,365
2020. 6. 2.,451
2020. 6. 3.,381
2020. 6. 4.,405
2020. 6. 5.,404
2020. 6. 6.,301
2020. 6. 7.,284
2020. 6. 8.,317
2020. 6. 9.,391
2020. 6. 10.,365
2020. 6. 11.,681
2020. 6. 12.,703
2020. 6. 13.,533
2020. 6. 14.,1015
2020. 6. 15.,1981
2020. 6. 16.,4964
2020. 6. 17.,3801
2020. 6. 18.,3845
2020. 6. 19.,4993
2020. 6. 20.,7418
2020. 6. 21.,9118
2020. 6. 22.,6611
2020. 6. 23.,5628
2020. 6. 24.,4964
2020. 6. 25.,4803
2020. 6. 26.,4829
2020. 6. 27.,5896
2020. 6. 28.,3983
2020. 6. 29.,3280
2020. 6. 30.,3060
2020. 7. 1.,2978
2020. 7. 2.,5313
2020. 7. 3.,5835
2020. 7. 4.,3357
2020. 7. 5.,3054
2020. 7. 6.,3015
2020. 7. 7.,2937
2020. 7. 8.,2879
2020. 7. 9.,2510
2020. 7. 10.,2026
2020. 7. 11.,2077
2020. 7. 12.,1834
2020. 7. 13.,1954
2020. 7. 14.,2004
2020. 7. 15.,1981
2020. 7. 16.,1734
2020. 7. 17.,1814
2020. 7. 18.,1950
2020. 7. 19.,2285
2020. 7. 20.,1940
2020. 7. 21.,1653
2020. 7. 22.,1855
2020. 7. 23.,1928
2020. 7. 24.,1754
2020. 7. 25.,1923
2020. 7. 26.,2024
2020. 7. 27.,1857
2020. 7. 28.,1942
2020. 7. 29.,2070
2020. 7. 30.,1761
2020. 7. 31.,1437
2020. 8. 1.,1969
2020. 8. 2.,1728
2020. 8. 3.,1568
2020. 8. 4.,1479
2020. 8. 5.,1409
2020. 8. 6.,1302
2020. 8. 7.,1269
2020. 8. 8.,1265
2020. 8. 9.,1078
2020. 8. 10.,1233
2020. 8. 11.,1079
2020. 8. 12.,1031
2020. 8. 13.,974
2020. 8. 14.,1719
2020. 8. 15.,1271
2020. 8. 16.,1463
2020. 8. 17.,1365
2020. 8. 18.,1250
2020. 8. 19.,1239
2020. 8. 20.,1092
2020. 8. 21.,1109
2020. 8. 22.,1252
2020. 8. 23.,1301
2020. 8. 24.,1312
2020. 8. 25.,1217
2020. 8. 26.,1093
2020. 8. 27.,1135
2020. 8. 28.,1085
2020. 8. 29.,1079
2020. 8. 30.,934
2020. 8. 31.,980
2020. 9. 1.,773
2020. 9. 2.,795
2020. 9. 3.,1025
2020. 9. 4.,1283
2020. 9. 5.,1570
2020. 9. 6.,1168
2020. 9. 7.,1175
2020. 9. 8.,975
2020. 9. 9.,958
2020. 9. 10.,853
2020. 9. 11.,977
2020. 9. 12.,1017
2020. 9. 13.,995
2020. 9. 14.,1120
2020. 9. 15.,1074
2020. 9. 16.,1089
2020. 9. 17.,562
2020. 9. 18.,1088
2020. 9. 19.,1164
2020. 9. 20.,1163
2020. 9. 21.,1030
2020. 9. 22.,798
2020. 9. 23.,946
2020. 9. 24.,1099
2020. 9. 25.,934
2020. 9. 26.,1005
2020. 9. 27.,770
2020. 9. 28.,693
2020. 9. 29.,754
2020. 9. 30.,709
2020. 10. 1.,915
2020. 10. 2.,838
2020. 10. 3.,893
2020. 10. 4.,1024
2020. 10. 5.,1010
2020. 10. 6.,1071
2020. 10. 7.,905
2020. 10. 8.,825
2020. 10. 9.,927
2020. 10. 10.,1028
2020. 10. 11.,1002
2020. 10. 12.,942
2020. 10. 13.,939
2020. 10. 14.,1075
2020. 10. 15.,10587
2020. 10. 16.,8747
2020. 10. 17.,8832
2020. 10. 18.,2726
2020. 10. 19.,2677
2020. 10. 20.,4733
2020. 10. 21.,8180
2020. 10. 22.,8379
2020. 10. 23.,6516
2020. 10. 24.,7518
2020. 10. 25.,6962
2020. 10. 26.,5770
2020. 10. 27.,6759
2020. 10. 28.,6569
2020. 10. 29.,7001
2020. 10. 30.,8001
2020. 10. 31.,10612
2020. 11. 1.,10405
2020. 11. 2.,7962
2020. 11. 3.,10288
2020. 11. 4.,9328
2020. 11. 5.,8533
2020. 11. 6.,7464
2020. 11. 7.,8707
2020. 11. 8.,12443
2020. 11. 9.,9429
2020. 11. 10.,8012
2020. 11. 11.,7238
2020. 11. 12.,6594
2020. 11. 13.,7124
2020. 11. 14.,8665
2020. 11. 15.,6236
2020. 11. 16.,5141
2020. 11. 17.,7929
2020. 11. 18.,7669
2020. 11. 19.,9156
2020. 11. 20.,9802
2020. 11. 21.,10777
2020. 11. 22.,10740
2020. 11. 23.,4025
2020. 11. 24.,2631
2020. 11. 25.,9208
2020. 11. 26.,2963
2020. 11. 27.,2696
2020. 11. 28.,2949
2020. 11. 29.,3010
2020. 11. 30.,2370
2020. 12. 1.,1947
2020. 12. 2.,2016
2020. 12. 3.,2008
2020. 12. 4.,1854
2020. 12. 5.,2082
2020. 12. 6.,1943
2020. 12. 7.,1573
2020. 12. 8.,1633
2020. 12. 9.,1728
2020. 12. 10.,1742
2020. 12. 11.,4225
2020. 12. 12.,15131
2020. 12. 13.,16209
2020. 12. 14.,11505
2020. 12. 15.,6209
2020. 12. 16.,6486
2020. 12. 17.,3182
2020. 12. 18.,2571
2020. 12. 19.,2597
2020. 12. 20.,2327
2020. 12. 21.,1818
2020. 12. 22.,1763
2020. 12. 23.,1163
2020. 12. 24.,1483
2020. 12. 25.,1329
2020. 12. 26.,1727
2020. 12. 27.,1799
2020. 12. 28.,1680
2020. 12. 29.,1533
2020. 12. 30.,2335
2020. 12. 31.,2268
2021. 1. 1.,2767
2021. 1. 2.,2451
2021. 1. 3.,2135
2021. 1. 4.,1965
2021. 1. 5.,1907
2021. 1. 6.,2000
2021. 1. 7.,1974
2021. 1. 8.,1842
2021. 1. 9.,1928
2021. 1. 10.,2241
2021. 1. 11.,2138
2021. 1. 12.,2061
2021. 1. 13.,2237
2021. 1. 14.,2297
2021. 1. 15.,2100
2021. 1. 16.,2159
2021. 1. 17.,2141
2021. 1. 18.,1873
2021. 1. 19.,2036
2021. 1. 20.,1993
2021. 1. 21.,2298
2021. 1. 22.,2173
2021. 1. 23.,2011
2021. 1. 24.,2107
2021. 1. 25.,1995
2021. 1. 26.,1930
2021. 1. 27.,1724
2021. 1. 28.,1723
2021. 1. 29.,1752
2021. 1. 30.,1818
2021. 1. 31.,1769
2021. 2. 1.,1493
2021. 2. 2.,1595
2021. 2. 3.,1574
2021. 2. 4.,1588
2021. 2. 5.,1512
2021. 2. 6.,1748
2021. 2. 7.,1788
2021. 2. 8.,1680
2021. 2. 9.,1515
2021. 2. 10.,1532
2021. 2. 11.,1697
2021. 2. 12.,1567
2021. 2. 13.,1409
2021. 2. 14.,1674
2021. 2. 15.,1422
2021. 2. 16.,1471
2021. 2. 17.,1456
2021. 2. 18.,1408
2021. 2. 19.,1412
2021. 2. 20.,1608
2021. 2. 21.,1580
2021. 2. 22.,1584
2021. 2. 23.,1922
2021. 2. 24.,1329
2021. 2. 25.,1280
2021. 2. 26.,1526
2021. 2. 27.,1467
2021. 2. 28.,2081
2021. 3. 1.,1466
2021. 3. 2.,1483
2021. 3. 3.,1499
2021. 3. 4.,1421
2021. 3. 5.,1103
2021. 3. 6.,1353
2021. 3. 7.,1389
2021. 3. 8.,1373
2021. 3. 9.,1394
2021. 3. 10.,1325
2021. 3. 11.,1070
2021. 3. 12.,1046
2021. 3. 13.,1038
2021. 3. 14.,1031
2021. 3. 15.,850
2021. 3. 16.,962
2021. 3. 17.,902
2021. 3. 18.,913
2021. 3. 19.,1142
2021. 3. 20.,1172
2021. 3. 21.,1251
2021. 3. 22.,979
2021. 3. 23.,1140
2021. 3. 24.,1061
2021. 3. 25.,1114
2021. 3. 26.,967
2021. 3. 27.,1164
2021. 3. 28.,1090
2021. 3. 29.,1072
2021. 3. 30.,1143
2021. 3. 31.,913
2021. 4. 1.,890
2021. 4. 2.,1088
2021. 4. 3.,1316
2021. 4. 4.,1419
2021. 4. 5.,1161
2021. 4. 6.,1107
2021. 4. 7.,1126
2021. 4. 8.,1150
2021. 4. 9.,1122
2021. 4. 10.,1469
2021. 4. 11.,1430
2021. 4. 12.,1240
2021. 4. 13.,1448
2021. 4. 14.,1396
2021. 4. 15.,1780
2021. 4. 16.,1173
2021. 4. 17.,1064
2021. 4. 18.,1632
2021. 4. 19.,950
2021. 4. 20.,811
2021. 4. 21.,1013
2021. 4. 22.,1429
2021. 4. 23.,1762
2021. 4. 24.,1709
2021. 4. 25.,2019
2021. 4. 26.,2042
2021. 4. 27.,1859
2021. 4. 28.,1509
2021. 4. 29.,1566
2021. 4. 30.,1584
2021. 5. 1.,2273
2021. 5. 2.,1945
2021. 5. 3.,2159
2021. 5. 4.,1879
2021. 5. 5.,1790
2021. 5. 6.,1521
2021. 5. 7.,1430
2021. 5. 8.,948
2021. 5. 9.,1058
2021. 5. 10.,874
2021. 5. 11.,562
2021. 5. 12.,719
2021. 5. 13.,1439
2021. 5. 14.,1097
2021. 5. 15.,1401
2021. 5. 16.,1635
2021. 5. 17.,1827
2021. 5. 18.,1245
2021. 5. 19.,2911
2021. 5. 20.,2122
2021. 5. 21.,1946
2021. 5. 22.,2058
2021. 5. 23.,2789
2021. 5. 24.,2000
2021. 5. 25.,1473
2021. 5. 26.,1431
2021. 5. 27.,1452
2021. 5. 28.,1306
2021. 5. 29.,1495
2021. 5. 30.,1684
2021. 5. 31.,1465
2021. 6. 1.,1367
2021. 6. 2.,1252
2021. 6. 3.,1272
2021. 6. 4.,1285
2021. 6. 5.,1493
