timestamp,USD,ETH,wBTC,wETH,DAI
1620777600,11699600073,2799865.045,45983.35704,1446218.415,1014722993
1620691200,11181698688,2832688.692,45964.03023,1438454.103,999224082.1
1620604800,11159911821,2845464.513,45409.26864,1417929.22,974047003.3
1620518400,11126194249,2854216.925,44955.88187,1428168.253,926458885.3
1620432000,10200420310,2928748.302,40808.67473,1422406.165,921296032.4
1620345600,10047924219,2893670.687,40872.88332,1405985.111,849384087.7
1620259200,10132470536,2873367.439,41219.82997,1412768.358,775333711.6
1620172800,9527210960,2935188.505,40296.57458,1432227.315,725060529
1620086400,9850343150,2872724.692,39644.91766,1408390.984,709176651.1
1620000000,9150531708,3099637.112,39723.24593,1376605.428,700430955
1619913600,9310018804,3160996.172,39846.78299,1425001.417,689934839.3
1619827200,9051388306,3259928.943,39702.70407,1429310.378,676634375.8
1619740800,8901468050,3226116.378,40796.70635,1418636.266,671861876
1619654400,9120266779,3317305.052,41392.34817,1486253.589,629499379.6
1619568000,8967312445,3363141.54,41730.27046,1491237.104,635798856.4
1619481600,8907112599,3513321.263,46158.10648,1484050.697,624503199
1619395200,8487928204,3657013.444,48504.89619,1521298.701,623010918.2
1619308800,8257098822,3719263.103,47255.85609,1509645.235,609260045.6
1619222400,8724985079,3684428.703,47280.6694,1625153.675,579342830.8
1619136000,9014689857,3748857.363,47655.73127,1694374.864,554961491.9
1619049600,8915849793,3777934.471,47908.94981,1704722.018,546485497.9
1618963200,9007249091,3859626.556,48371.95977,1708873.688,520258717.5
1618876800,8816979663,4072884.175,48778.8801,1714315.834,513948228.3
1618790400,8890774333,3958704.086,48595.83049,1704319.808,659331782.1
1618704000,10715270826,4608242.945,48618.22519,2345521.513,673767180.3
1618617600,11112847166,4575183.893,50234.54013,2356515.604,625399467.1
1618531200,11348670906,4510528.81,50887.11286,2361586.019,544813511.8
1618444800,11365761111,4672883.513,51179.65124,2384315.305,666733216.3
1618358400,11103937238,4828638.562,49241.43413,2388766.325,670056121.1
1618272000,10423581073,4875046.687,49288.59298,2414902.202,629712760
1618185600,10105397640,4701387.629,49663.97299,2393508.758,541708438.1
1618099200,9951254430,4664942.073,48500.31034,2388191.492,516112184.2
1618012800,9736328524,4711278.682,47876.80202,2386876.941,537236168.4
1617926400,9671177239,4649269.158,46121.94099,2413676.666,537166238.4
1617840000,9224917925,4703495.11,91400.4434,2362843.582,598133278.2
1617753600,9529169767,4511298.054,46214.45089,2329083.719,608456044.7
1617667200,9604716328,4564068.165,46024.38271,2367774.626,610730144.4
1617580800,9399135970,4531494.841,45806.2406,2383540.016,514974765.4
1617494400,9032183933,4492729.772,0,2381508.868,468232014
1617408000,8396079380,3931374.554,46779.64526,1772527.369,465355245.1
1617321600,8004374771,4066953.622,47120.47299,1770596.682,410406779.7
1617235200,7820607382,4079330.761,47620.97177,1753134.226,410286256.5
1617148800,7714723119,4191167.06,48590.05778,1767405.341,415590898.9
1617062400,6922890344,3809856.554,39221.67054,1767858.059,405075740.7
1616976000,6447159141,3822486.803,44948.98828,1443898.805,384689884.6
1616889600,6562679498,3830655.789,46904.02262,1485385.991,378758147.6
1616803200,7031262564,4138154.564,46662.66303,1491516.88,461731872.1
1616716800,6658078912,4191662.677,46558.32171,1530676.493,435132206.7
1616630400,6670081335,4209767.131,47208.07602,1538653.402,403994312.5
1616544000,6774313947,4055746.84,46173.04427,1488666.353,376959303.8
1616457600,6703341436,3977040.442,45929.69657,1439393.287,399951107.7
1616371200,6871561966,3849614.547,45643.96649,1405692.895,384173412.7
1616284800,6954559410,3854073.168,45886.79297,1375456.92,398961448.4
1616198400,6885719821,3804075.942,45559.84581,1358647.73,419181618.9
1616112000,6602454305,3716133.452,45197.87909,1342408.177,420689219.5
1616025600,6748425121,3700666.89,44534.81173,1320685.38,429853755
1615939200,6577942736,3644531.9,44110.67637,1323641.22,456707388.2
1615852800,6359936802,3549606.694,41671.81506,1250447.592,434265812.8
1615766400,6663677512,3603702.038,41686.83085,1258519.82,424209358.7
1615680000,6947704635,3615489.103,41095.3472,1243600.7,413403621
1615593600,6484239986,3669860.595,39863.33306,1246346.778,399512948.8
1615507200,5708041412,3124423.979,36617.08589,1272609.158,406519543.1
1615420800,5533695624,3079973.297,35739.53233,1287240.62,388454159.8
1615334400,5709505072,3052134.045,36078.46406,1274377.983,458025025.9
1615248000,5425913076,2963489.981,35022.0315,1269536.578,491474037.8
1615161600,5295667015,3069809.525,33747.09188,1279928.225,515948429.1
1615075200,5258468499,3184229.537,39804.81022,1154021.835,386104696.6
1614988800,5105044845,3338834.685,40395.52267,1143270.311,375257010.8
1614902400,5043095095,3275247.503,40492.17879,1128339.647,386627773.3
1614816000,5086476342,3236928.033,39739.99377,1124132.246,413613945.8
1614729600,4993032779,3350466.552,39158.83575,1139401.428,440592702.6
1614643200,5008802652,3188979.57,38708.40422,1057890.572,430457806.3
1614556800,4607139127,3245012.627,38492.32017,1038134.305,426647907.3
1614470400,4515950241,3090893.7,37925.39713,1024933.713,354321460.2
1614384000,4555695284,3152228.562,75857.26582,1028187.67,346407046.7
1614297600,4584221392,3106135.671,37199.85943,1114751.177,339314377.8
1614211200,4853805198,2987306.33,36218.54603,1122624.152,337008940.5
1614124800,4748721922,3011810.694,35153.07541,1149087.864,335896544.6
1614038400,5169859709,2905525.543,34795.68318,1186287.127,343739270.4
1613952000,5533570355,2856227.956,34456.414,1212312.509,334884557.3
1613865600,5404710885,2814616.418,34251.18029,1211343.276,327694602.1
1613779200,5361523469,2738586.999,34008.42431,1225248.83,336020317.1
1613692800,5221982980,2689885.842,32855.82388,1247540.724,333686783.2
1613606400,5016489936,2709492.525,32748.69786,1257246.818,317737454
1613520000,4824680481,2705843.034,32491.5019,1211466.562,298414888.3
1613433600,4631590236,2602689.592,32274.65729,1203945.381,237966622.2
1613347200,4687768138,2597806.683,31798.72763,1215413.715,196574978.5
1613260800,4650364504,2559293.637,31722.26412,1220727.586,202267215.6
1613174400,4629727091,2508113.707,30866.56364,1183495.203,198365657.8
1613088000,4575732428,2559148.78,29628.36361,1217601.781,193968316.8
1613001600,4351935192,2496148.574,29938.25814,1242637.778,181917771.3
1612915200,4400049514,2480843.88,28514.30548,1233328.526,167590200
1612828800,4337985137,2479302.008,28752.63771,1250783.648,199780913.9
1612742400,3932410624,2435140.275,27221.2001,1263044.077,158770689
1612656000,4022251505,2395138.272,27226.81328,1280428.36,172221565.8
1612569600,4106078645,2387143.996,27754.41891,1295618.364,171096769.8
1612483200,3802601253,2379406.715,30211.95235,1264857.547,189959099.2
1612396800,3847264953,2311835.973,30146.26019,1190887.941,193595335.5
1612310400,3608549552,2383123.577,29937.21525,1185655.811,195241684.6
1612224000,3353942421,2438876.106,29992.72551,1169342.826,197842191.5
1612137600,3223197248,2452741.947,30246.42876,1150977.897,201704143
1612051200,3320876855,2409907.66,30407.63216,1146079.711,203750291.8
1611964800,3269471360,2369233.65,30246.64031,1140757.495,203027854
1611878400,3170978724,2383782.296,30091.48112,1116629.754,220619475.5
1611792000,3016442481,2416420.986,31228.92696,1125520.714,231635914.9
1611705600,3236944895,2370780.309,32161.12688,1107991.071,248747433.6
1611619200,3071686430,2326841.271,31747.29284,1040268.099,235112400.8
1611532800,3126411594,2255399.039,32171.8614,1042670.442,228499661.1
1611446400,2954521603,2394904.312,31858.50146,1045721.918,235802873.9
1611360000,2874714807,2323790.545,32623.14348,1044349.915,181066739.7
1611273600,2747831913,2461839.964,32301.92368,1048893.224,145818651.8
1611187200,3157008539,2291756.044,32997.13756,1057768.809,127383683.2
1611100800,3147489497,2293837.771,31898.85929,1053855.981,115891830.5
1611014400,2974127619,2363588.956,32492.60641,1013097.45,123405726.1
1610928000,2942038824,2386778.641,32184.2179,1016838.45,122442484.2
1610841600,2909985301,2366438.127,33085.54898,1012447.751,103524406.9
1610755200,2859866921,2439306.148,31582.19959,1051520.609,49196328.16
1610668800,2838939540,2316367.118,27702.88011,959787.7265,121762469.3
1610582400,2535416738,2243413.975,27735.65524,915422.0487,164179864.6
1610496000,2365838348,2253801.858,26766.45807,937042.3285,163817204.7
1610409600,2416606167,2221717.14,26390.718,947643.0796,179111156.5
1610323200,2687874683,2138767.512,26129.97042,925744.1421,184722979.6
1610236800,2763674036,2160132.903,24229.11613,901993.964,211015647.6
1610150400,2658703338,2184816.614,25551.34858,955727.2929,214472088.9
1610064000,2612335863,2121659.638,26131.87848,944943.9867,168146932.3
1609977600,2615768549,2163025.65,26049.68735,981139.9216,167488186.4
1609891200,2450894021,2227093.405,25913.44998,994565.0095,175498507.3
1609804800,2285063019,2205914.796,26047.1001,989491.0637,186703401.6
1609718400,2323634186,2383238.993,26845.14247,1126685.423,63913287.59
1609632000,2078841880,2694859.906,26814.38862,1077424.835,61907297.6
1609545600,1964869452,2693779.153,26659.86891,1093029.233,137838986.9
1609459200,1927609426,2614239.406,27156.12587,1036854.213,164155862.5
1609372800,1971870224,2621749.487,31545.78003,1081723.775,172628088.4
1609286400,2120887976,2899685.51,30930.83984,1063422.27,198551923.4
1609200000,2128036171,2918516.315,30656.76621,1121548.227,200301167.9
1609113600,2030941909,2973168.849,30507.30821,1113078.55,187191481.1
1609027200,2025357698,3186077.645,29940.1978,1104726.567,237046303.8
1608940800,1967896990,3143504.984,29695.42816,1104690.569,236494808.4
1608854400,1873050072,3058540.287,29245.50726,1106527.349,224520454.1
1608768000,1856274013,2867009.565,29089.47824,1124171.412,244096703.5
1608681600,1930349625,3067991.584,28915.9357,1124367.794,248763358.4
1608595200,1866858929,3079405.729,28660.21637,1119563.149,248081794.9
1608508800,1907634991,3016166.76,28548.67398,1124612.348,241939853.5
1608422400,1960303014,3016361.252,25406.11881,1104917.287,266185355.5
1608336000,1865320793,2903855.771,24874.88935,1126025.993,256272372.3
1608249600,1794520399,2806262.059,24097.95427,1072596.215,261047415.5
1608163200,1802336927,2850581.124,24319.82582,1074932.882,277523352
1608076800,1732588403,2949337.651,24464.64747,1079017.342,278750101.7
1607990400,1697481129,2900784.594,24569.42196,1054091.537,282034110.9
1607904000,1699850002,2880515.831,24661.74961,1066370.239,284672639.1
1607817600,1675819484,2937560.447,24815.76068,1056131.344,302864867.5
1607731200,1603733190,2936809.973,25031.09544,1034386.461,295354754.7
1607644800,1630299624,2903782.459,23527.94329,1030471.223,315429619.2
1607558400,1639081872,2861275.852,23512.89424,1068741.945,320700611.9
1607472000,1612532777,2888601.277,23566.11888,1083780.157,318456415
1607385600,1673643724,2834186.351,23640.12782,1093765.952,312013173.6
1607299200,1672865517,2809744.226,24439.56147,1091798.712,308811670.1
1607212800,1648373137,2775739.896,22529.50761,1077221.281,301611898
1607126400,1544435984,2705217.957,22447.94279,1061723.724,303695234.7
1607040000,1632562020,2661539.999,22909.68095,1077004.884,318561364
1606953600,1630194482,2740882.159,22827.18742,1117597.481,307679941.6
1606867200,1647520225,2813772.758,22988.98412,1119311.109,348614344.7
1606780800,1701777524,2775285.84,22411.06185,1099322.831,361604499.5
1606694400,1537520087,2656484.479,22400.26558,1074755.091,346418596.8
1606608000,1502508748,2783402.953,23120.94049,1082831.083,349314545.4
1606521600,1457636636,2786588.61,24397.08164,1031450.549,349325033.8
1606435200,1537964163,2963207.898,24935.61817,1152677.502,352526560.5
1606348800,1632966585,2860287.234,25311.53049,1205724.173,339505471.1
1606262400,1693973492,2817044.704,24261.86644,1212540.164,333995106.1
1606176000,1661667072,2744425.111,24459.83134,1215466.681,333582844.8
1606089600,1603236033,2862205.936,24604.65607,1224546.177,331306388.9
1606003200,1580570166,2882253.485,24719.35997,1213683.587,338338917.8
1605916800,1547167336,3070568.472,24711.81683,1240182.937,338672203
1605830400,1506701931,3211899.235,24624.57998,1313539.753,336690508.2
1605744000,1529278511,3206975.865,25224.05566,1296447.227,345472194.8
1605657600,1479561898,3099532.624,25838.57048,1148360.178,352099655.2
1605571200,1455039833,3190177.226,24883.03815,1137680.87,342841283.8
1605484800,1405928680,3157545.434,24879.84057,1149746.791,356090505.5
1605398400,1420282338,3098820.365,24727.80053,1149333.029,358303889.4
1605312000,1445418129,3049984.446,24672.3949,1150900.302,361665504.7
1605225600,1392884168,3018494.242,24366.68849,1093507.344,360366384.9
1605139200,1405094058,3037318.817,23523.27835,1097502.98,361931907.8
1605052800,1348266076,3012279.265,23978.57079,1092472.067,335981657.2
1604966400,1322857944,2982836.014,24881.11227,1071818.251,322611132
1604880000,1295676964,2865464.237,25035.32712,1108490.47,292385384.8
1604793600,1245045158,2855411.687,24428.59389,1102467.313,290985138.8
1604707200,1299120203,2852576.09,24129.48971,1090504.275,301765105.2
1604620800,1230560550,2977835.035,22560.96173,1055335.817,287332017.6
1604534400,1129359340,2828702.167,21110.42654,1018363.037,282546516.6
1604448000,1109049079,2879151.295,21126.97236,1021274.703,290859846.4
1604361600,1076988528,2806631.037,19942.92055,1021340.13,286935105.7
1604275200,1071711882,2727002.244,20023.90937,1065219.136,281010428
1604188800,1054759593,2736578.868,19554.37604,1062971.026,272570834.4
1604102400,1047237167,2748726.127,18712.55763,1054764.351,274541389.5
1604016000,1049587190,2727688.324,18400.25865,1073585.338,277302689.1
1603929600,1076188599,2773467.513,15743.75855,1049961.558,305343558.7
1603843200,1077350314,2685319.826,15277.00674,1051190.096,327946866.8
1603756800,1063525434,2704382.429,14661.32474,1043627.882,336168411
1603670400,1080967791,2661957.72,14333.73513,1026895.905,339092605.3
1603584000,1091804694,2667622.884,14495.51085,1012269.026,342269764.3
1603497600,1049966929,2571242.633,12447.83947,946739.6351,345740917.1
1603411200,992911648,2405600.601,11907.08559,922040.1405,320335314.4
1603324800,940875347,2418391.844,11369.59688,921911.2346,306593686.5
1603238400,900756252,2454644.245,10593.12786,901361.7772,300572938.7
1603152000,897279261,2376395.098,8707.584256,873952.4062,291367603.2
1603065600,871714472,2314081.423,8427.277018,858099.7284,297693404.4
1602979200,859383451,2331922.641,8394.465664,847070.6602,296765349.8
1602892800,858174386,2348846.031,8545.734379,849178.4984,295774776.3
1602806400,878222555,2350010.851,6463.158398,843674.5722,295222450.9
1602720000,861563715,2284103.168,5706.250707,847149.165,297007071.3
1602633600,857293761,2256273.716,4419.49138,831707.4549,294918615.6
1602547200,846216521,2200765.964,4187.815062,819332.2588,278612807
1602460800,831133853,2224960.12,3407.161035,816567.5532,277561881.4
1602374400,825401893,2230454.232,2838.944538,802717.9237,271050787.5
1602288000,818467324,2242253.367,2613.845646,787701.9673,271523957.9
1602201600,826030824,2352492.877,2661.515336,793002.7177,270174599.8
1602115200,781794304,2290838.058,2586.957873,756481.6216,264675128.5
1602028800,770342163,2255958.541,2575.954101,714607.7877,268944513.8
1601942400,764063446,2169217.403,2394.141728,709452.9416,254496587.2
1601856000,774968270,2196559.82,2277.710918,700727.3882,256798245.8
1601769600,768555240,2212752.253,2221.816489,694952.4114,254815807.3
1601683200,767384480,2211801.355,2200.176423,681530.5942,252902811.1
1601596800,789256487,2227713.136,2210.132457,675659.0046,258171741.6
1601510400,818925204,2267109.252,2064.645618,681015.8279,282162759.1
1601424000,829824763,2303213.42,1947.943043,689627.6112,281099482.2
1601337600,814965363,2294255.287,1885.454856,682397.5315,279787249.8
1601251200,868662020,2425684.901,1914.602755,667229.963,282071225.7
1601164800,808543207,2270232.225,1526.015606,679955.8583,285580768.7
1601078400,816448833,2300698.377,1507.707408,680976.0129,289843542.3
1600992000,751895816,2145086.774,1241.981766,695615.0598,287319970.9
1600905600,706736061,2168567.232,1431.996472,739226.9156,269418189.7
1600819200,719899204,2077991.006,1517.521756,785187.7314,241045976.6
1600732800,699439023,2043589.736,1949.610122,754475.2659,230878087.8
1600646400,714435431,1919596.515,1991.785458,768099.4938,209808504.6
1600560000,701714272,1819468.126,2402.484791,824176.2833,180622223.6
1600473600,686610905,1782155.125,1679.495869,838027.0774,161532401.4
1600387200,656884425,1687824.52,1679.495869,873507.6114,143112469.4
1600300800,658848886,1803237.502,3123.738488,873507.6114,143112469.4
1600214400,669096146,1832788.632,3123.738488,933764.9763,142645420.5
1600128000,670148628,1771239.931,3243.236595,933764.9763,142645420.5
1600041600,640706231,1734685.883,3243.236595,955012.6824,111198637.9
1599955200,644814809,1651550.365,2756.814871,955012.6824,111198637.9
1599868800,629849206,1673128.453,2756.814871,918258.5479,113342868.4
1599782400,614696306,1657712.322,2338.226485,918258.5479,113342868.4
1599696000,601608023,1699553.712,2338.226485,883155.1972,140375516.9
1599609600,589070930,1739108.792,2259.4314,883155.1972,140375516.9
1599523200,609393224,1725837.508,2259.4314,852698.8774,138515730.6
1599436800,609579663,1714421.372,2298.073095,852698.8774,138515730.6
1599350400,624970502,1849517.629,2298.073095,828136.4552,133232394
1599264000,646469448,1663543.007,1649.167682,828136.4552,133232394
1599177600,655979263,1690886.101,1649.167682,828301.6592,136425938.4
1599091200,730576231,1657424.694,1137.808273,828301.6592,136425938.4
1599004800,778292032,1644221.046,1137.808273,805399.8132,146067271.4
1598918400,766735386,1766549.285,1169.848041,805399.8132,146067271.4
1598832000,784803313,1830914.784,1175.952878,796440.2563,130007635.1
1598745600,792284738,1973311.925,1174.040602,788978.8841,141582833.9
1598659200,801701066,2019652.515,1098.10201,772058.8006,134069449.1
1598572800,758119048,1972419.211,909.349693,840737.3157,144895832.7
1598486400,798326845,2054366.559,1119.71175,726023.4191,150008288.9
1598400000,790522868,2047562.339,1330.888225,745402.3722,168358160.9
1598313600,821373287,2009525.094,1310.800559,832096.4859,167778278.2
1598227200,793142580,2025803.484,1158.257182,843406.7675,176794696.9
1598140800,804180625,2033635.002,1046.676159,864981.6971,189987106.4
1598054400,781044278,2011445.475,1050.936722,889425.1048,188649197.9
1597968000,795222000,1911499.447,752.759402,933047.2669,197984058.4
1597881600,720683210,1768330.781,802.802115,962283.5329,206556915.7
1597795200,730170103,1720841.137,924.088805,946744.0099,204505488.6
1597708800,748111988,1735798.947,999.565428,938466.2109,213883435.2
1597622400,766876676,1790972.877,973.777781,936817.5112,207433648.4
1597536000,742596237,1721363.554,954.425375,930481.7685,189316646.7
1597449600,791861598,1817905.824,1099.950976,909698.2283,216737718.4
1597363200,911615582,2163815.765,883.671098,907012.1049,215610347.3
1597276800,827500814,2134990.103,888.435936,899493.8797,213271597.3
1597190400,843228008,2221476.39,676.323763,903823.0514,212798614.1
1597104000,856732327,2167954.671,695.574796,903009.9715,198914219.8
1597017600,810652463,2079555.854,588.569839,891734.7899,195794879.5
1596931200,812632736,2064248.574,2221.354506,915092.5656,207033583.2
1596844800,777264935,2048992.816,349.611383,950400.7751,202948547.9
1596758400,799813083,2032406.889,613.56667,992826.7494,196013155.5
1596672000,823322936,2062638.882,804.97932,1025205.359,201019437.1
1596585600,816928141,2100774.4,850.345454,1012646.649,247468472.1
1596499200,810050939,2095483.196,815.512407,955440.7961,255621916
1596412800,751839481,2023358.31,900.483661,998114.9757,254608278.6
1596326400,762798800,1971922.55,828.939475,967249.8982,252137757.6
1596240000,698263732,2015365.636,1617.617357,949316.4627,213350711.3
1596153600,738807260,2208361.261,1615.353606,958363.677,213804250.1
1596067200,773225338,2427328.011,1796.212979,966963.4789,212832819.7
1595980800,790473582,2500628.205,1919.701684,984794.5185,201428023
1595894400,782608208,2441835.282,1925.685792,979986.4365,217284716.7
1595808000,722414009,2330442.947,1931.629052,986114.3837,219157827.4
1595721600,587882207,1947984.383,1946.195169,978528.9462,218705691.7
1595635200,583535177,2098217.169,1983.125363,1029671.966,173692900.5
1595548800,557842795,2032732.555,1947.648716,1003325.357,151546577.9
1595462400,572424967,2179753.121,5026.845126,952898.5734,171232362
1595376000,571497569,2334167.493,4488.744369,982085.7402,143362340.9
1595289600,579165401,2447867.291,3960.325763,930922.147,153313989.4
1595203200,638260228,2680751.934,3755.163346,907885.0204,162057077.6
1595116800,676549036,2863820.843,1649.907944,910045.7284,149096258.2
1595030400,693262631,2990650.235,1775.575716,894269.3451,138805088.9
1594944000,697836791,2973187.299,1821.736884,890782.9724,86842011.15
1594857600,697701897,2922923.741,1855.937523,972911.2451,44730387.41
1594771200,702342854,2922531.849,1842.356107,953789.2868,30813067.98
1594684800,690522079,2876815.727,1828.39615,971940.4151,29328630.53
1594598400,698960570,2884690.755,1823.670488,1043204.514,35848809.32
1594512000,689408365,2877330.405,1836.436174,1027214.733,43005239.97
1594425600,677107837,2804688.249,1833.785674,959841.9827,63885658.11
1594339200,661907971,2734591.907,1753.784923,920658.5153,87779375.91
1594252800,664612520,2698824.494,1736.151728,914046.8809,94547419.03
1594166400,640377888,2674705.071,1734.009741,913228.5984,85211978.32
1594080000,671759732,2790627.002,1545.831151,908737.043,85798362.56
1593993600,637698403,2782279.245,1433.723799,912580.3549,83691231.45
1593907200,630538513,2725356.643,1450.317102,912773.2202,79462431.8
1593820800,624301168,2748530.281,1515.413867,906028.2479,75410952.26
1593734400,611929653,2690155.418,1520.240603,854896.8398,82150351.24
1593648000,596220443,2560424.474,1523.453831,847652.0293,73312103.14
1593561600,564930596,2487804.28,1554.61756,810876.5574,70156119.59
1593475200,639542361,2804764.323,1603.515254,857101.9136,69268620.97
1593388800,635735044,2807768.943,1619.647288,795489.9241,63274608.16
1593302400,628278253,2817517.615,1417.31383,962067.0631,55949341.67
1593216000,625814924,2707631.74,1392.754884,916010.2019,53509421.14
1593129600,616459482,2626584.925,2334.947699,892951.1089,51680852.26
1593043200,561693412,2380561.187,2519.215286,910228.8498,44915952.7
1592956800,592014395,2436172.976,2582.408723,1017263.648,24366034.6
1592870400,577005640,2385700.984,2479.540402,1036745.69,509557.6822
1592784000,608713948,2649231.614,2297.603406,1028749.382,509948.4292
1592697600,511267185,2222031.314,2275.355591,1066044.72,12016253.05
1592611200,433071037,1884146.343,2335.744229,1042963.964,12434399.08
1592524800,339613547,1469743.138,2242.265821,1033823.266,14258822.19
1592438400,239736623,1029000.871,1738.65769,1045940.966,15979432.4
1592352000,171327814,729147.6103,1599.888766,1005813.57,16346272.63
1592265600,117245553,507820.3093,1671.983926,917215.4869,13158907.14
1592179200,97743632,420059.4439,1605.403722,928939.6751,14076717.27
1592092800,90402936,380643.9411,1020.257332,982808.6293,10901900.38
1592006400,94967726,398605.3557,1538.50302,963698.9123,14156084.88
1591920000,88227697,382004.2302,810.183656,723279.1663,13885573.35
1591833600,90656442,369107.292,868.258684,622263.9055,14191541.66
